,orders.id,orders.name,orders.line_items.id,orders.fulfillment_status,orders.line_items.sku,orders.line_items.quantity,orders.line_items.fulfillment_status,orders.line_items.fulfillable_quantity,,,,,,,
5624503-2946495,1229124173953,#5624503,2620666445953,partial,2946495,1,fulfilled,0,,,,,,,
5624503-ecofee-sku-1,1229124173953,#5624503,2620666478721,partial,ecofee-sku-1,1,pending,1,,,,,,,
5622570-1383617,1229060833409,#5622570,2620543172737,partial,1383617,1,pending,1,,,,,,,
5622570-673002,1229060833409,#5622570,2620543205505,partial,673002,1,fulfilled,0,,,,,,,
5622279-2872296,1229051297921,#5622279,2620517417089,partial,2872296,1,pending,1,,,,,,,
5622279-426568,1229051297921,#5622279,2620517482625,partial,426568,1,fulfilled,0,,,,,,,
5622225-2728031,1229049528449,#5622225,2620511420545,partial,2728031,1,pending,1,,,,,,,
5622225-380480,1229049528449,#5622225,2620511453313,partial,380480,10,fulfilled,0,,,,,,,
5621841-13716,1229036945537,#5621841,2620476817537,partial,13716,1,pending,1,,,,,,,
5621841-2803551,1229036945537,#5621841,2620476850305,partial,2803551,2,fulfilled,0,,,,,,,
5621841-866297,1229036945537,#5621841,2620476883073,partial,866297,2,fulfilled,0,,,,,,,
5621133-380480,1229013745793,#5621133,2620412330113,partial,380480,30,fulfilled,0,,,,,,,
5621133-368225,1229013745793,#5621133,2620412362881,partial,368225,1,fulfilled,0,,,,,,,
5621133-1956749,1229013745793,#5621133,2620412395649,partial,1956749,1,pending,1,,,,,,,
5621133-887835,1229013745793,#5621133,2620412428417,partial,887835,1,fulfilled,0,,,,,,,
5621133-937956,1229013745793,#5621133,2620412461185,partial,937956,2,fulfilled,0,,,,,,,
5620456-1832606,1228991561857,#5620456,2620354625665,partial,1832606,1,fulfilled,0,,,,,,,
5620456-380480,1228991561857,#5620456,2620354658433,partial,380480,2,pending,2,,,,,,,
5619881-380480,1228972720257,#5619881,2620303671425,partial,380480,2,fulfilled,0,,,,,,,
5619881-1589532,1228972720257,#5619881,2620303704193,partial,1589532,1,pending,1,,,,,,,
5619801-692082,1228970098817,#5619801,2620296298625,partial,692082,1,fulfilled,0,,,,,,,
5619801-2605794,1228970098817,#5619801,2620296331393,partial,2605794,1,pending,1,,,,,,,
5619801-860854,1228970098817,#5619801,2620296364161,partial,860854,1,fulfilled,0,,,,,,,
5619801-122374,1228970098817,#5619801,2620296396929,partial,122374,1,fulfilled,0,,,,,,,
5619511-380480,1228960596097,#5619511,2620270051457,partial,380480,1,fulfilled,0,,,,,,,
5619511-46250,1228960596097,#5619511,2620270084225,partial,46250,1,fulfilled,0,,,,,,,
5619511-13535,1228960596097,#5619511,2620270116993,partial,13535,1,fulfilled,0,,,,,,,
5619511-242281,1228960596097,#5619511,2620270149761,partial,242281,1,fulfilled,0,,,,,,,
5619511-2290522,1228960596097,#5619511,2620270182529,partial,2290522,1,pending,1,,,,,,,
5619511-496992,1228960596097,#5619511,2620270215297,partial,496992,1,fulfilled,0,,,,,,,
5619511-2934650,1228960596097,#5619511,2620270248065,partial,2934650,1,pending,1,,,,,,,
5619070-1563379,1228946145409,#5619070,2620232237185,partial,1563379,1,pending,1,,,,,,,
5619070-380480,1228946145409,#5619070,2620232269953,partial,380480,10,fulfilled,0,,,,,,,
5618187-474025,1228917211265,#5618187,2620157886593,partial,474025,1,pending,1,,,,,,,
5618187-26026,1228917211265,#5618187,2620157919361,partial,26026,1,fulfilled,0,,,,,,,
5618187-2962336,1228917211265,#5618187,2620157952129,partial,2962336,1,fulfilled,0,,,,,,,
5617963-2941727,1228909871233,#5617963,2620143403137,partial,2941727,1,fulfilled,0,,,,,,,
5617963-ecofee-sku-1,1228909871233,#5617963,2620143435905,partial,ecofee-sku-1,1,pending,1,,,,,,,
5617621-481800,1228898664577,#5617621,2620124692609,fulfilled,481800,1,fulfilled,0,,,,,,,
5617621-481805,1228898664577,#5617621,2620124725377,fulfilled,481805,1,fulfilled,0,,,,,,,
5617621-557109,1228898664577,#5617621,2620124758145,fulfilled,557109,3,fulfilled,0,,,,,,,
5617223-2961588,1228885622913,#5617223,2620100837505,partial,2961588,1,fulfilled,0,,,,,,,
5617223-ecofee-sku-1,1228885622913,#5617223,2620100870273,partial,ecofee-sku-1,1,pending,1,,,,,,,
5615705-219914,1228835881089,#5615705,2619973206145,partial,219914,1,fulfilled,0,,,,,,,
5615705-219916,1228835881089,#5615705,2619973238913,partial,219916,2,partial,1,,,,,,,
5615705-2942618,1228835881089,#5615705,2619973271681,partial,2942618,6,fulfilled,0,,,,,,,
5615705-791637,1228835881089,#5615705,2619973304449,partial,791637,8,partial,1,,,,,,,
5615070-618443,1228815073409,#5615070,2619912028289,partial,618443,1,fulfilled,0,,,,,,,
5615070-2864163,1228815073409,#5615070,2619912061057,partial,2864163,1,fulfilled,0,,,,,,,
5615070-ecofee-sku-1,1228815073409,#5615070,2619912093825,partial,ecofee-sku-1,1,pending,1,,,,,,,
5612661-2961251,1228736135297,#5612661,2619689402497,partial,2961251,1,fulfilled,0,,,,,,,
5612661-ecofee-sku-1,1228736135297,#5612661,2619689435265,partial,ecofee-sku-1,1,pending,1,,,,,,,
5610332-24373299,1228659818625,#5610332,2619507638401,partial,24373299,1,fulfilled,0,,,,,,,
5610332-ecofee-sku-1,1228659818625,#5610332,2619507671169,partial,ecofee-sku-1,1,pending,1,,,,,,,
5604881-13579,1228481200257,#5604881,2619019100289,partial,13579,2,pending,2,,,,,,,
5604881-733095,1228481200257,#5604881,2619019133057,partial,733095,1,pending,1,,,,,,,
5604881-2864314,1228481200257,#5604881,2619019165825,partial,2864314,1,fulfilled,0,,,,,,,
5604589-41914,1228471632001,#5604589,2618996228225,partial,41914,1,pending,1,,,,,,,
5604589-2717488,1228471632001,#5604589,2618996260993,partial,2717488,1,fulfilled,0,,,,,,,
5580109-693627,1227669438593,#5580109,2617116917889,fulfilled,693627,2,fulfilled,0,,,,,,,
5580109-693872,1227669438593,#5580109,2617116950657,fulfilled,693872,1,fulfilled,0,,,,,,,
5580074-2125879,1227668291713,#5580074,2617114165377,partial,2125879,4,fulfilled,0,,,,,,,
5580074-322515,1227668291713,#5580074,2617114198145,partial,322515,1,fulfilled,0,,,,,,,
5580074-1535891,1227668291713,#5580074,2617114230913,partial,1535891,1,pending,1,,,,,,,
5580074-582353,1227668291713,#5580074,2617114263681,partial,582353,1,fulfilled,0,,,,,,,
5579969-329248,1227664851073,#5579969,2617107447937,partial,329248,1,fulfilled,0,,,,,,,
5579969-695621,1227664851073,#5579969,2617107480705,partial,695621,1,pending,1,,,,,,,
5579969-78576,1227664851073,#5579969,2617107513473,partial,78576,1,fulfilled,0,,,,,,,
5579969-481792,1227664851073,#5579969,2617107546241,partial,481792,2,fulfilled,0,,,,,,,
5579969-613660,1227664851073,#5579969,2617107579009,partial,613660,1,fulfilled,0,,,,,,,
5579969-18548,1227664851073,#5579969,2617107611777,partial,18548,1,fulfilled,0,,,,,,,
5579969-753570,1227664851073,#5579969,2617107644545,partial,753570,1,fulfilled,0,,,,,,,
5579934-2903655,1227663704193,#5579934,2617104466049,partial,2903655,1,pending,1,,,,,,,
5579934-2939375,1227663704193,#5579934,2617104498817,partial,2939375,1,fulfilled,0,,,,,,,
5579934-2938183,1227663704193,#5579934,2617104531585,partial,2938183,1,fulfilled,0,,,,,,,
5579934-2321242,1227663704193,#5579934,2617104564353,partial,2321242,1,fulfilled,0,,,,,,,
5579934-2938184,1227663704193,#5579934,2617104597121,partial,2938184,1,fulfilled,0,,,,,,,
5579934-2938050,1227663704193,#5579934,2617104629889,partial,2938050,1,fulfilled,0,,,,,,,
5579481-2967572,1227648860289,#5579481,2617067077761,fulfilled,2967572,1,fulfilled,0,,,,,,,
5579481-734458,1227648860289,#5579481,2617067110529,fulfilled,734458,12,fulfilled,0,,,,,,,
5579423-1265603,1227646959745,#5579423,2617061310593,partial,1265603,3,fulfilled,0,,,,,,,
5579423-2125856,1227646959745,#5579423,2617061343361,partial,2125856,1,pending,1,,,,,,,
5579423-927500,1227646959745,#5579423,2617061376129,partial,927500,1,fulfilled,0,,,,,,,
5579410-744222,1227646533761,#5579410,2617060425857,partial,744222,1,fulfilled,0,,,,,,,
5579410-20727,1227646533761,#5579410,2617060458625,partial,20727,1,pending,1,,,,,,,
5579410-730419,1227646533761,#5579410,2617060491393,partial,730419,1,pending,1,,,,,,,
5579410-832468,1227646533761,#5579410,2617060524161,partial,832468,1,fulfilled,0,,,,,,,
5579410-572671,1227646533761,#5579410,2617060556929,partial,572671,1,fulfilled,0,,,,,,,
5579410-820936,1227646533761,#5579410,2617060589697,partial,820936,5,pending,5,,,,,,,
5579410-816215,1227646533761,#5579410,2617060622465,partial,816215,5,pending,5,,,,,,,
5579410-383318,1227646533761,#5579410,2617060655233,partial,383318,3,pending,3,,,,,,,
5579410-31890,1227646533761,#5579410,2617060688001,partial,31890,1,pending,1,,,,,,,
5579410-679455,1227646533761,#5579410,2617060720769,partial,679455,3,pending,3,,,,,,,
5579410-2941939,1227646533761,#5579410,2617060753537,partial,2941939,1,pending,1,,,,,,,
5579349-498510,1227644534913,#5579349,2617054986369,partial,498510,5,pending,5,,,,,,,
5579349-558461,1227644534913,#5579349,2617055019137,partial,558461,1,fulfilled,0,,,,,,,
5579349-2909010,1227644534913,#5579349,2617055051905,partial,2909010,1,fulfilled,0,,,,,,,
5579349-606934,1227644534913,#5579349,2617055084673,partial,606934,1,pending,1,,,,,,,
5579349-606938,1227644534913,#5579349,2617055117441,partial,606938,1,pending,1,,,,,,,
5579331-2608727,1227643945089,#5579331,2617053675649,partial,2608727,1,fulfilled,0,,,,,,,
5579331-2794505,1227643945089,#5579331,2617053708417,partial,2794505,1,fulfilled,0,,,,,,,
5579331-14006,1227643945089,#5579331,2617053741185,partial,14006,4,fulfilled,0,,,,,,,
5579331-135251,1227643945089,#5579331,2617053773953,partial,135251,2,fulfilled,0,,,,,,,
5579331-ecofee-sku-1,1227643945089,#5579331,2617053806721,partial,ecofee-sku-1,1,pending,1,,,,,,,
5579238-2848608,1227640897665,#5579238,2617045450881,partial,2848608,1,fulfilled,0,,,,,,,
5579238-2960890,1227640897665,#5579238,2617045483649,partial,2960890,1,pending,1,,,,,,,
5579181-380479,1227639029889,#5579181,2617040928897,partial,380479,1,pending,1,,,,,,,
5579181-438138,1227639029889,#5579181,2617040961665,partial,438138,1,fulfilled,0,,,,,,,
5579181-2448718,1227639029889,#5579181,2617040994433,partial,2448718,1,pending,1,,,,,,,
5579181-2936147,1227639029889,#5579181,2617041027201,partial,2936147,1,fulfilled,0,,,,,,,
5578987-2937160,1227632672897,#5578987,2617024118913,partial,2937160,2,pending,2,,,,,,,
5578987-673077,1227632672897,#5578987,2617024151681,partial,673077,1,fulfilled,0,,,,,,,
5578987-734458,1227632672897,#5578987,2617024184449,partial,734458,3,fulfilled,0,,,,,,,
5578987-444336,1227632672897,#5578987,2617024217217,partial,444336,1,pending,1,,,,,,,
5578987-798219,1227632672897,#5578987,2617024249985,partial,798219,1,pending,1,,,,,,,
5578930-684961,1227630805121,#5578930,2617020186753,partial,684961,1,fulfilled,0,,,,,,,
5578930-2894982,1227630805121,#5578930,2617020219521,partial,2894982,1,pending,1,,,,,,,
5578930-685077,1227630805121,#5578930,2617020252289,partial,685077,1,fulfilled,0,,,,,,,
5578930-685247,1227630805121,#5578930,2617020285057,partial,685247,1,fulfilled,0,,,,,,,
5578930-685235,1227630805121,#5578930,2617020317825,partial,685235,1,fulfilled,0,,,,,,,
5578902-1569942,1227629887617,#5578902,2617017860225,partial,1569942,1,fulfilled,0,,,,,,,
5578902-2862185,1227629887617,#5578902,2617017892993,partial,2862185,2,pending,2,,,,,,,
5578902-592678,1227629887617,#5578902,2617017925761,partial,592678,1,pending,1,,,,,,,
5578902-606396,1227629887617,#5578902,2617017958529,partial,606396,2,pending,2,,,,,,,
5578900-812674,1227629822081,#5578900,2617017729153,partial,812674,1,fulfilled,0,,,,,,,
5578900-2948184,1227629822081,#5578900,2617017761921,partial,2948184,1,pending,1,,,,,,,
5578900-ecofee-sku-1,1227629822081,#5578900,2617017794689,partial,ecofee-sku-1,1,pending,1,,,,,,,
5578878-1439775,1227629101185,#5578878,2617016057985,partial,1439775,1,fulfilled,0,,,,,,,
5578878-1095625,1227629101185,#5578878,2617016090753,partial,1095625,1,pending,1,,,,,,,
5578878-147927,1227629101185,#5578878,2617016123521,partial,147927,1,pending,1,,,,,,,
5578878-471263,1227629101185,#5578878,2617016156289,partial,471263,1,pending,1,,,,,,,
5578866-673111,1227628707969,#5578866,2617014878337,partial,673111,5,pending,5,,,,,,,
5578866-2115919,1227628707969,#5578866,2617014911105,partial,2115919,1,fulfilled,0,,,,,,,
5578866-1383617,1227628707969,#5578866,2617014943873,partial,1383617,1,fulfilled,0,,,,,,,
5578836-2948739,1227627724929,#5578836,2617012584577,fulfilled,2948739,1,fulfilled,0,,,,,,,
5578836-2948146,1227627724929,#5578836,2617012617345,fulfilled,2948146,1,fulfilled,0,,,,,,,
5578836-2948716,1227627724929,#5578836,2617012650113,fulfilled,2948716,1,fulfilled,0,,,,,,,
5578836-2862178,1227627724929,#5578836,2617012682881,fulfilled,2862178,1,fulfilled,0,,,,,,,
5578836-582353,1227627724929,#5578836,2617012715649,fulfilled,582353,1,fulfilled,0,,,,,,,
5578836-2942998,1227627724929,#5578836,2617012748417,fulfilled,2942998,2,fulfilled,0,,,,,,,
5578836-2091029,1227627724929,#5578836,2617012781185,fulfilled,2091029,1,fulfilled,0,,,,,,,
5578605-1824458,1227620155521,#5578605,2616992530561,partial,1824458,1,fulfilled,0,,,,,,,
5578605-13980,1227620155521,#5578605,2616992563329,partial,13980,2,fulfilled,0,,,,,,,
5578605-854847,1227620155521,#5578605,2616992596097,partial,854847,1,pending,1,,,,,,,
5578605-40723,1227620155521,#5578605,2616992628865,partial,40723,5,pending,5,,,,,,,
5578605-496808,1227620155521,#5578605,2616992661633,partial,496808,2,pending,2,,,,,,,
5578605-37344,1227620155521,#5578605,2616992694401,partial,37344,1,pending,1,,,,,,,
5578605-646953,1227620155521,#5578605,2616992727169,partial,646953,1,pending,1,,,,,,,
5578605-17143,1227620155521,#5578605,2616992759937,partial,17143,1,pending,1,,,,,,,
5578605-14006,1227620155521,#5578605,2616992792705,partial,14006,10,pending,10,,,,,,,
5578605-17147,1227620155521,#5578605,2616992825473,partial,17147,2,pending,2,,,,,,,
5578545-2608735,1227618189441,#5578545,2616987189377,partial,2608735,1,pending,1,,,,,,,
5578545-2959684,1227618189441,#5578545,2616987222145,partial,2959684,1,fulfilled,0,,,,,,,
5578436-1630886,1227614617729,#5578436,2616977490049,fulfilled,1630886,1,fulfilled,0,,,,,,,
5578436-135069,1227614617729,#5578436,2616977522817,fulfilled,135069,1,fulfilled,0,,,,,,,
5578436-2933822,1227614617729,#5578436,2616977555585,fulfilled,2933822,1,fulfilled,0,,,,,,,
5578426-959064,1227614290049,#5578426,2616976507009,partial,959064,1,pending,1,,,,,,,
5578426-32288,1227614290049,#5578426,2616976539777,partial,32288,1,pending,1,,,,,,,
5578426-43456,1227614290049,#5578426,2616976572545,partial,43456,1,pending,1,,,,,,,
5578426-2942011,1227614290049,#5578426,2616976605313,partial,2942011,1,fulfilled,0,,,,,,,
5578426-971134,1227614290049,#5578426,2616976638081,partial,971134,1,fulfilled,0,,,,,,,
5578426-491554,1227614290049,#5578426,2616976670849,partial,491554,1,pending,1,,,,,,,
5578426-ecofee-sku-1,1227614290049,#5578426,2616976703617,partial,ecofee-sku-1,1,pending,1,,,,,,,
5578394-599051,1227613241473,#5578394,2616973000833,partial,599051,1,pending,1,,,,,,,
5578394-452556,1227613241473,#5578394,2616973033601,partial,452556,1,fulfilled,0,,,,,,,
5578394-565436,1227613241473,#5578394,2616973066369,partial,565436,1,pending,1,,,,,,,
5578394-483532,1227613241473,#5578394,2616973099137,partial,483532,2,pending,2,,,,,,,
5578394-503450,1227613241473,#5578394,2616973131905,partial,503450,2,fulfilled,0,,,,,,,
5578394-1625364,1227613241473,#5578394,2616973164673,partial,1625364,2,fulfilled,0,,,,,,,
5578394-520193,1227613241473,#5578394,2616973197441,partial,520193,2,pending,2,,,,,,,
5578394-516745,1227613241473,#5578394,2616973230209,partial,516745,1,pending,1,,,,,,,
5578394-20182,1227613241473,#5578394,2616973262977,partial,20182,1,fulfilled,0,,,,,,,
5578394-20150,1227613241473,#5578394,2616973295745,partial,20150,1,pending,1,,,,,,,
5578394-2906244,1227613241473,#5578394,2616973328513,partial,2906244,2,fulfilled,0,,,,,,,
5578394-492051,1227613241473,#5578394,2616973361281,partial,492051,1,pending,1,,,,,,,
5578302-411797,1227610226817,#5578302,2616965693569,partial,411797,1,pending,1,,,,,,,
5578302-2709117,1227610226817,#5578302,2616965726337,partial,2709117,3,fulfilled,0,,,,,,,
5578302-481795,1227610226817,#5578302,2616965759105,partial,481795,1,fulfilled,0,,,,,,,
5578302-557109,1227610226817,#5578302,2616965791873,partial,557109,1,pending,1,,,,,,,
5578302-696407,1227610226817,#5578302,2616965824641,partial,696407,2,fulfilled,0,,,,,,,
5578263-495366,1227608948865,#5578263,2616963006593,partial,495366,1,pending,1,,,,,,,
5578263-37927,1227608948865,#5578263,2616963039361,partial,37927,2,pending,2,,,,,,,
5578263-2623773,1227608948865,#5578263,2616963072129,partial,2623773,1,fulfilled,0,,,,,,,
5578263-43454,1227608948865,#5578263,2616963104897,partial,43454,1,pending,1,,,,,,,
5578231-13579,1227607900289,#5578231,2616960024705,partial,13579,3,fulfilled,0,,,,,,,
5578231-13583,1227607900289,#5578231,2616960057473,partial,13583,4,fulfilled,0,,,,,,,
5578231-20331,1227607900289,#5578231,2616960090241,partial,20331,4,fulfilled,0,,,,,,,
5578231-24401673,1227607900289,#5578231,2616960123009,partial,24401673,1,pending,1,,,,,,,
5578231-1005410,1227607900289,#5578231,2616960155777,partial,1005410,2,fulfilled,0,,,,,,,
5578229-684968,1227607834753,#5578229,2616959697025,fulfilled,684968,1,fulfilled,0,,,,,,,
5578229-684976,1227607834753,#5578229,2616959729793,fulfilled,684976,1,fulfilled,0,,,,,,,
5578229-950396,1227607834753,#5578229,2616959762561,fulfilled,950396,2,fulfilled,0,,,,,,,
5578229-492051,1227607834753,#5578229,2616959795329,fulfilled,492051,1,fulfilled,0,,,,,,,
5578229-2801239,1227607834753,#5578229,2616959828097,fulfilled,2801239,1,fulfilled,0,,,,,,,
5578229-2091029,1227607834753,#5578229,2616959860865,fulfilled,2091029,1,fulfilled,0,,,,,,,
5578165-1747246,1227605737601,#5578165,2616954781825,partial,1747246,1,fulfilled,0,,,,,,,
5578165-1747263,1227605737601,#5578165,2616954814593,partial,1747263,1,pending,1,,,,,,,
5578165-1747264,1227605737601,#5578165,2616954847361,partial,1747264,1,pending,1,,,,,,,
5578165-1747265,1227605737601,#5578165,2616954880129,partial,1747265,1,fulfilled,0,,,,,,,
5578165-1747267,1227605737601,#5578165,2616954912897,partial,1747267,1,pending,1,,,,,,,
5578140-44757,1227604918401,#5578140,2616953307265,fulfilled,44757,1,fulfilled,0,,,,,,,
5578140-2911638,1227604918401,#5578140,2616953340033,fulfilled,2911638,1,fulfilled,0,,,,,,,
5578113-199076,1227604033665,#5578113,2616950980737,partial,199076,2,fulfilled,0,,,,,,,
5578113-380479,1227604033665,#5578113,2616951013505,partial,380479,2,fulfilled,0,,,,,,,
5578113-744964,1227604033665,#5578113,2616951046273,partial,744964,1,pending,1,,,,,,,
5578113-912343,1227604033665,#5578113,2616951079041,partial,912343,1,pending,1,,,,,,,
5578113-13579,1227604033665,#5578113,2616951111809,partial,13579,3,pending,3,,,,,,,
5578110-602400,1227603935361,#5578110,2616950292609,partial,602400,1,pending,1,,,,,,,
5578110-13109,1227603935361,#5578110,2616950325377,partial,13109,1,fulfilled,0,,,,,,,
5578110-2946885,1227603935361,#5578110,2616950358145,partial,2946885,1,pending,1,,,,,,,
5578110-240366,1227603935361,#5578110,2616950390913,partial,240366,1,fulfilled,0,,,,,,,
5578110-389246,1227603935361,#5578110,2616950423681,partial,389246,1,pending,1,,,,,,,
5578110-2836138,1227603935361,#5578110,2616950456449,partial,2836138,1,fulfilled,0,,,,,,,
5578110-2836139,1227603935361,#5578110,2616950489217,partial,2836139,1,fulfilled,0,,,,,,,
