"orders.id","orders.name","orders.line_items.id","orders.fulfillment_status","orders.line_items.sku","orders.line_items.quantity","orders.line_items.fulfillment_status","orders.line_items.fulfillable_quantity"
1229124173953,"#5624503",2620666445953,"partial","2946495",1,"fulfilled",0
1229124173953,"#5624503",2620666478721,"partial","ecofee-sku-1",1,,1
1229060833409,"#5622570",2620543172737,"partial","1383617",1,,1
1229060833409,"#5622570",2620543205505,"partial","673002",1,"fulfilled",0
1229051297921,"#5622279",2620517417089,"partial","2872296",1,,1
1229051297921,"#5622279",2620517482625,"partial","426568",1,"fulfilled",0
1229049528449,"#5622225",2620511420545,"partial","2728031",1,,1
1229049528449,"#5622225",2620511453313,"partial","380480",10,"fulfilled",0
1229036945537,"#5621841",2620476817537,"partial","13716",1,,1
1229036945537,"#5621841",2620476850305,"partial","2803551",2,"fulfilled",0
1229036945537,"#5621841",2620476883073,"partial","866297",2,"fulfilled",0
1229013745793,"#5621133",2620412330113,"partial","380480",30,"fulfilled",0
1229013745793,"#5621133",2620412362881,"partial","368225",1,"fulfilled",0
1229013745793,"#5621133",2620412395649,"partial","1956749",1,,1
1229013745793,"#5621133",2620412428417,"partial","887835",1,"fulfilled",0
1229013745793,"#5621133",2620412461185,"partial","937956",2,"fulfilled",0
1228991561857,"#5620456",2620354625665,"partial","1832606",1,"fulfilled",0
1228991561857,"#5620456",2620354658433,"partial","380480",2,,2
1228972720257,"#5619881",2620303671425,"partial","380480",2,"fulfilled",0
1228972720257,"#5619881",2620303704193,"partial","1589532",1,,1
1228970098817,"#5619801",2620296298625,"partial","692082",1,"fulfilled",0
1228970098817,"#5619801",2620296331393,"partial","2605794",1,,1
1228970098817,"#5619801",2620296364161,"partial","860854",1,"fulfilled",0
1228970098817,"#5619801",2620296396929,"partial","122374",1,"fulfilled",0
1228960596097,"#5619511",2620270051457,"partial","380480",1,"fulfilled",0
1228960596097,"#5619511",2620270084225,"partial","46250",1,"fulfilled",0
1228960596097,"#5619511",2620270116993,"partial","13535",1,"fulfilled",0
1228960596097,"#5619511",2620270149761,"partial","242281",1,"fulfilled",0
1228960596097,"#5619511",2620270182529,"partial","2290522",1,,1
1228960596097,"#5619511",2620270215297,"partial","496992",1,"fulfilled",0
1228960596097,"#5619511",2620270248065,"partial","2934650",1,,1
1228946145409,"#5619070",2620232237185,"partial","1563379",1,,1
1228946145409,"#5619070",2620232269953,"partial","380480",10,"fulfilled",0
1228917211265,"#5618187",2620157886593,"partial","474025",1,,1
1228917211265,"#5618187",2620157919361,"partial","26026",1,"fulfilled",0
1228917211265,"#5618187",2620157952129,"partial","2962336",1,"fulfilled",0
1228909871233,"#5617963",2620143403137,"partial","2941727",1,"fulfilled",0
1228909871233,"#5617963",2620143435905,"partial","ecofee-sku-1",1,,1
1228898664577,"#5617621",2620124692609,"fulfilled","481800",1,"fulfilled",0
1228898664577,"#5617621",2620124725377,"fulfilled","481805",1,"fulfilled",0
1228898664577,"#5617621",2620124758145,"fulfilled","557109",3,"fulfilled",0
1228885622913,"#5617223",2620100837505,"partial","2961588",1,"fulfilled",0
1228885622913,"#5617223",2620100870273,"partial","ecofee-sku-1",1,,1
1228835881089,"#5615705",2619973206145,"partial","219914",1,"fulfilled",0
1228835881089,"#5615705",2619973238913,"partial","219916",2,"partial",1
1228835881089,"#5615705",2619973271681,"partial","2942618",6,"fulfilled",0
1228835881089,"#5615705",2619973304449,"partial","791637",8,"partial",1
1228815073409,"#5615070",2619912028289,"partial","618443",1,"fulfilled",0
1228815073409,"#5615070",2619912061057,"partial","2864163",1,"fulfilled",0
1228815073409,"#5615070",2619912093825,"partial","ecofee-sku-1",1,,1
1228736135297,"#5612661",2619689402497,"partial","2961251",1,"fulfilled",0
1228736135297,"#5612661",2619689435265,"partial","ecofee-sku-1",1,,1
1228659818625,"#5610332",2619507638401,"partial","24373299",1,"fulfilled",0
1228659818625,"#5610332",2619507671169,"partial","ecofee-sku-1",1,,1
1228481200257,"#5604881",2619019100289,"partial","13579",2,,2
1228481200257,"#5604881",2619019133057,"partial","733095",1,,1
1228481200257,"#5604881",2619019165825,"partial","2864314",1,"fulfilled",0
1228471632001,"#5604589",2618996228225,"partial","41914",1,,1
1228471632001,"#5604589",2618996260993,"partial","2717488",1,"fulfilled",0
1227669438593,"#5580109",2617116917889,"fulfilled","693627",2,"fulfilled",0
1227669438593,"#5580109",2617116950657,"fulfilled","693872",1,"fulfilled",0
1227668291713,"#5580074",2617114165377,"partial","2125879",4,"fulfilled",0
1227668291713,"#5580074",2617114198145,"partial","322515",1,"fulfilled",0
1227668291713,"#5580074",2617114230913,"partial","1535891",1,,1
1227668291713,"#5580074",2617114263681,"partial","582353",1,"fulfilled",0
1227664851073,"#5579969",2617107447937,"partial","329248",1,"fulfilled",0
1227664851073,"#5579969",2617107480705,"partial","695621",1,,1
1227664851073,"#5579969",2617107513473,"partial","78576",1,"fulfilled",0
1227664851073,"#5579969",2617107546241,"partial","481792",2,"fulfilled",0
1227664851073,"#5579969",2617107579009,"partial","613660",1,"fulfilled",0
1227664851073,"#5579969",2617107611777,"partial","18548",1,"fulfilled",0
1227664851073,"#5579969",2617107644545,"partial","753570",1,"fulfilled",0
1227663704193,"#5579934",2617104466049,"partial","2903655",1,,1
1227663704193,"#5579934",2617104498817,"partial","2939375",1,"fulfilled",0
1227663704193,"#5579934",2617104531585,"partial","2938183",1,"fulfilled",0
1227663704193,"#5579934",2617104564353,"partial","2321242",1,"fulfilled",0
1227663704193,"#5579934",2617104597121,"partial","2938184",1,"fulfilled",0
1227663704193,"#5579934",2617104629889,"partial","2938050",1,"fulfilled",0
1227648860289,"#5579481",2617067077761,"fulfilled","2967572",1,"fulfilled",0
1227648860289,"#5579481",2617067110529,"fulfilled","734458",12,"fulfilled",0
1227646959745,"#5579423",2617061310593,"partial","1265603",3,"fulfilled",0
1227646959745,"#5579423",2617061343361,"partial","2125856",1,,1
1227646959745,"#5579423",2617061376129,"partial","927500",1,"fulfilled",0
1227646533761,"#5579410",2617060425857,"partial","744222",1,"fulfilled",0
1227646533761,"#5579410",2617060458625,"partial","20727",1,,1
1227646533761,"#5579410",2617060491393,"partial","730419",1,,1
1227646533761,"#5579410",2617060524161,"partial","832468",1,"fulfilled",0
1227646533761,"#5579410",2617060556929,"partial","572671",1,"fulfilled",0
1227646533761,"#5579410",2617060589697,"partial","820936",5,,5
1227646533761,"#5579410",2617060622465,"partial","816215",5,,5
1227646533761,"#5579410",2617060655233,"partial","383318",3,,3
1227646533761,"#5579410",2617060688001,"partial","31890",1,,1
1227646533761,"#5579410",2617060720769,"partial","679455",3,,3
1227646533761,"#5579410",2617060753537,"partial","2941939",1,,1
1227644534913,"#5579349",2617054986369,"partial","498510",5,,5
1227644534913,"#5579349",2617055019137,"partial","558461",1,"fulfilled",0
1227644534913,"#5579349",2617055051905,"partial","2909010",1,"fulfilled",0
1227644534913,"#5579349",2617055084673,"partial","606934",1,,1
1227644534913,"#5579349",2617055117441,"partial","606938",1,,1
1227643945089,"#5579331",2617053675649,"partial","2608727",1,"fulfilled",0
