"orders.id","orders.name","orders.line_items.id","orders.fulfillment_status","orders.line_items.sku","orders.line_items.quantity","orders.line_items.fulfillment_status","orders.line_items.fulfillable_quantity"
1228898664577,"#5617621",2620124692609,"fulfilled","481800",1,"fulfilled",0
1228898664577,"#5617621",2620124725377,"fulfilled","481805",1,"fulfilled",0
1228898664577,"#5617621",2620124758145,"fulfilled","557109",3,"fulfilled",0
1228342657153,"#5600653",2618699186305,"partial","2936470",1,"fulfilled",0
1228342657153,"#5600653",2618699219073,"partial","723218",1,,1
1228342657153,"#5600653",2618699251841,"partial","745931",1,,1
1228342657153,"#5600653",2618699284609,"partial","963962",1,"fulfilled",0
1228342657153,"#5600653",2618699317377,"partial","798080",3,,3
1228342657153,"#5600653",2618699350145,"partial","1956548",1,"fulfilled",0
1228342132865,"#5600637",2618697711745,"partial","1439219",1,,1
1228342132865,"#5600637",2618697744513,"partial","489419",1,"fulfilled",0
1228342132865,"#5600637",2618697777281,"partial","486341",1,,1
1228342132865,"#5600637",2618697810049,"partial","14040",2,,2
1228342132865,"#5600637",2618697842817,"partial","807722",3,"fulfilled",0
1228342132865,"#5600637",2618697875585,"partial","827602",1,"fulfilled",0
1228342132865,"#5600637",2618697908353,"partial","827601",3,"fulfilled",0
1228342132865,"#5600637",2618697941121,"partial","651740",1,"fulfilled",0
1228341084289,"#5600605",2618694860929,"partial","740233",1,"fulfilled",0
1228341084289,"#5600605",2618694893697,"partial","26721",1,"fulfilled",0
1228341084289,"#5600605",2618694926465,"partial","1990394",1,"fulfilled",0
1228341084289,"#5600605",2618694959233,"partial","964651",1,,1
1228341084289,"#5600605",2618694992001,"partial","613660",1,"fulfilled",0
1228340560001,"#5600589",2618693648513,"partial","2608736",1,"fulfilled",0
1228340560001,"#5600589",2618693681281,"partial","2945493",1,"fulfilled",0
1228340560001,"#5600589",2618693714049,"partial","ecofee-sku-1",1,,1
1228338561153,"#5600528",2618688176257,"partial","2537590",9,"fulfilled",0
1228338561153,"#5600528",2618688209025,"partial","2537591",6,"fulfilled",0
1228338561153,"#5600528",2618688241793,"partial","14881",3,,3
1228338561153,"#5600528",2618688274561,"partial","828651",3,"fulfilled",0
1228338561153,"#5600528",2618688307329,"partial","866960",1,"fulfilled",0
1228338561153,"#5600528",2618688340097,"partial","37343",1,"fulfilled",0
1228338561153,"#5600528",2618688372865,"partial","566848",1,"fulfilled",0
1228338167937,"#5600516",2618687258753,"partial","613569",1,"fulfilled",0
1228338167937,"#5600516",2618687291521,"partial","2942918",1,"fulfilled",0
1228338167937,"#5600516",2618687324289,"partial","45717",1,"fulfilled",0
1228338167937,"#5600516",2618687357057,"partial","566848",1,"fulfilled",0
1228338167937,"#5600516",2618687389825,"partial","271674",1,,1
1228338167937,"#5600516",2618687422593,"partial","14336",1,"fulfilled",0
1228338167937,"#5600516",2618687455361,"partial","ecofee-sku-1",1,,1
1228336955521,"#5600479",2618683490433,"partial","2937526",1,,1
1228336955521,"#5600479",2618683523201,"partial","2937535",1,,1
1228336955521,"#5600479",2618683555969,"partial","2938471",1,,1
1228336955521,"#5600479",2618683588737,"partial","2937537",1,"fulfilled",0
1228336955521,"#5600479",2618683621505,"partial","685077",2,"fulfilled",0
1228336955521,"#5600479",2618683654273,"partial","2878871",1,,1
1228336955521,"#5600479",2618683687041,"partial","2939251",1,,1
1228336955521,"#5600479",2618683719809,"partial","2933177",1,,1
1228336955521,"#5600479",2618683752577,"partial","2937528",1,,1
1228336955521,"#5600479",2618683785345,"partial","2937533",1,,1
1228336955521,"#5600479",2618683818113,"partial","2937527",1,,1
1228335022209,"#5600420",2618677100673,"partial","555024",1,"fulfilled",0
1228335022209,"#5600420",2618677133441,"partial","682376",1,"fulfilled",0
1228335022209,"#5600420",2618677166209,"partial","13532",1,,1
1228335022209,"#5600420",2618677198977,"partial","13530",2,"fulfilled",0
1228335022209,"#5600420",2618677231745,"partial","510389",1,"fulfilled",0
1228335022209,"#5600420",2618677264513,"partial","20071",2,"fulfilled",0
1228335022209,"#5600420",2618677297281,"partial","11520",1,"fulfilled",0
1228335022209,"#5600420",2618677330049,"partial","13552",1,"fulfilled",0
1228335022209,"#5600420",2618677362817,"partial","29242",2,"fulfilled",0
1228333973633,"#5600388",2618674937985,"fulfilled","353989",1,"fulfilled",0
1228333973633,"#5600388",2618674970753,"fulfilled","975147",2,"fulfilled",0
1228333973633,"#5600388",2618675003521,"fulfilled","27008",1,"fulfilled",0
1228329484417,"#5600251",2618662125697,"partial","930652",1,"fulfilled",0
1228329484417,"#5600251",2618662158465,"partial","756734",1,"fulfilled",0
1228329484417,"#5600251",2618662191233,"partial","853656",2,"fulfilled",0
1228329484417,"#5600251",2618662224001,"partial","26857",1,"fulfilled",0
1228329484417,"#5600251",2618662256769,"partial","975149",2,,2
1228329484417,"#5600251",2618662289537,"partial","20071",1,"fulfilled",0
1228329484417,"#5600251",2618662322305,"partial","712572",1,"fulfilled",0
1228329484417,"#5600251",2618662355073,"partial","851657",2,"fulfilled",0
